,Número,Distrito,Barrio,Calle,Nº Finca,Número de Plazas,Longitud,Latitud
119,123,07  CHAMBERÍ,07-01 GAZTAMBIDE,"GUZMAN EL BUENO, CALLE, DE",2,24,-3.7134685,40.4306386
120,124,07  CHAMBERÍ,07-03 TRAFALGAR,"MANUEL SILVELA, CALLE, DE",18,24,-3.6993182,40.4308173
121,125,07  CHAMBERÍ,07-04 ALMAGRO,"FERNANDEZ DE LA HOZ, CALLE, DE",29,24,-3.6948316,40.4353128
122,126,07  CHAMBERÍ,07-03 TRAFALGAR,"GENERAL ALVAREZ DE CASTRO, CALLE, DEL",4,24,-3.7017424,40.4345672
123,127,07  CHAMBERÍ,07-02 ARAPILES,"FERNANDO EL CATOLICO, CALLE, DE",19,24,-3.7083987,40.4339055
124,128,07  CHAMBERÍ,07-01 GAZTAMBIDE,"CEA BERMUDEZ, CALLE, DE",59,27,-3.7156915,40.4390329
125,129,07  CHAMBERÍ,07-05 RÍOS ROSAS,"JOSE ABASCAL, CALLE, DE",33,24,-3.6982818,40.4384684
126,130,07  CHAMBERÍ,07-05 RÍOS ROSAS,"SANTA ENGRACIA, CALLE, DE",129,20,-3.7017071,40.4417195
127,131,07  CHAMBERÍ,07-05 RÍOS ROSAS,"BRAVO MURILLO, CALLE, DE",44,24,-3.704022,40.4417543
128,132,07  CHAMBERÍ,07-05 RÍOS ROSAS,"SANTA ENGRACIA, CALLE, DE",168,24,-3.7035911,40.4463889
129,133,06  TETUÁN,06-02 CUATRO CAMINOS,"DULCINEA, CALLE, DE",3,24,-3.7000292,40.4471673
130,134,07  CHAMBERÍ,07-05 RÍOS ROSAS,"MARIA DE GUZMAN, CALLE, DE",58,24,-3.6955114,40.444027
131,135,07  CHAMBERÍ,07-05 RÍOS ROSAS,"SAN JUAN DE LA CRUZ, PLAZA, DE",S/N,24,-3.6928901,40.4414845
132,136,05  CHAMARTÍN,05-01 EL VISO,"CASTELLANA, PASEO, DE LA",106,24,-3.6908127,40.4452833
133,137,05  CHAMARTÍN,05-01 EL VISO,"REPUBLICA ARGENTINA, PLAZA, DE LA",6,24,-3.6852925,40.4454958
134,138,07  CHAMBERÍ,07-05 RÍOS ROSAS,"CASTELLANA, PASEO, DE LA",frente 108,24,-3.6915818,40.4456884
135,139,05  CHAMARTÍN,05-01 EL VISO,"JOSE GUTIERREZ ABASCAL, CALLE, DE",S/N,24,-3.6904495,40.4393558
136,140,05  CHAMARTÍN,05-01 EL VISO,"VELAZQUEZ, CALLE, DE",134,27,-3.6829127,40.4385198
137,141,07  CHAMBERÍ,07-04 ALMAGRO,"CASTELLANA, PASEO, DE LA",43,12,-3.6892902,40.4354253
138,142,04  SALAMANCA,04-06 CASTELLANA,"CASTELLANA, PASEO, DE LA",S/N,24,-3.6880402,40.4335262
139,143,04  SALAMANCA,04-05 LISTA,"DIEGO DE LEON, CALLE, DE",54,24,-3.6782355,40.434616
140,144,04  SALAMANCA,04-05 LISTA,"JUAN BRAVO, CALLE, DE",50,24,-3.6754628,40.4323192
141,145,04  SALAMANCA,04-05 LISTA,"JOSE ORTEGA Y GASSET, CALLE, DE",87,24,-3.671401,40.4297717
142,146,05  CHAMARTÍN,05-01 EL VISO,"MARIA FRANCISCA, CALLE, DE",1,18,-3.67879,40.4442406
143,147,05  CHAMARTÍN,05-01 EL VISO,"DOCTOR ARCE, AVENIDA, DEL",45,24,-3.6795811,40.4483353
144,148,05  CHAMARTÍN,05-01 EL VISO,"SERRANO, CALLE, DE",210,24,-3.6816993,40.4510203
145,149,05  CHAMARTÍN,05-01 EL VISO,"LA HABANA, PASEO, DE",42,24,-3.6878512,40.4498448
146,150,05  CHAMARTÍN,05-01 EL VISO,"CASTELLANA, PASEO, DE LA",S/N,24,-3.690541,40.4491125
147,151,06  TETUÁN,06-02 CUATRO CAMINOS,"ORENSE, CALLE, DE",10,24,-3.6952023,40.4488617
148,152,06  TETUÁN,06-02 CUATRO CAMINOS,"GENERAL PERON, AVENIDA, DEL",frente 4,24,-3.6989497,40.4527163
149,153,06  TETUÁN,06-02 CUATRO CAMINOS,"GENERAL PERON, AVENIDA, DEL",frente 36,24,-3.6930894,40.45235
150,154,06  TETUÁN,06-02 CUATRO CAMINOS,"ORENSE, CALLE, DE",36,24,-3.6946736,40.4547769
151,155,06  TETUÁN,06-02 CUATRO CAMINOS,"SAN GERMÁN, CALLE, DE",55,24,-3.700864,40.4572863
152,156,06  TETUÁN,06-03 CASTILLEJOS,"SOR ANGELA DE LA CRUZ, CALLE, DE",2,24,-3.6913229,40.4592406
153,157,05  CHAMARTÍN,05-05 NUEVA ESPAÑA,"CASTELLANA, PASEO, DE LA",S/N,24,-3.6893305,40.459282
154,158,05  CHAMARTÍN,05-04 HISPANOAMÉRICA,"ALBERTO ALCOCER, AVENIDA, DE",22 A,24,-3.6847049,40.45862
155,159,05  CHAMARTÍN,05-04 HISPANOAMÉRICA,"LA HABANA, PASEO, DE",63,24,-3.6837348,40.4542549
156,160,05  CHAMARTÍN,05-04 HISPANOAMÉRICA,"COLOMBIA, CALLE, DE",7,24,-3.6766176,40.4571995
157,161,09  MONCLOA-ARAVACA,09-01 CASA DE CAMPO,"FLORIDA, PASEO, DE LA",[6 8],27,-3.7220624,40.4220566
158,162,02  ARGANZUELA,02-02 ACACIAS,"OLMOS, PASEO, DE LOS",28,24,-3.7107559,40.4035176
159,163,02  ARGANZUELA,02-02 ACACIAS,"ESPERANZA, PASEO, DE LA",0.08333333333333333,21,-3.7064372,40.4036349
160,164,02  ARGANZUELA,02-05 DELICIAS,"DELICIAS, PASEO, DE LAS",94,24,-3.6944851,40.3971366
161,165,02  ARGANZUELA,02-03 CHOPERA,"CHOPERA, PASEO, DE LA",frente 49,27,-3.6976134,40.3928841
162,166,01  CENTRO,01-01 PALACIO,"SEGOVIA, CALLE, DE",21,24,-3.7133382,40.4139396
163,167,02  ARGANZUELA,02-01 IMPERIAL,"SEGOVIA, CALLE, DE",47 A,24,-3.7176456,40.4137331
164,168,02  ARGANZUELA,02-06 PALOS DE MOGUER,"SANTA MARIA DE LA CABEZA, PASEO, DE",frente 32,24,-3.6959159,40.4045828
165,169,02  ARGANZUELA,02-02 ACACIAS,"TOLEDO, CALLE, DE",181,24,-3.713846,40.401578
166,170,02  ARGANZUELA,02-02 ACACIAS,"ESPERANZA, PASEO, DE LA",21,24,-3.704403,40.4011039
167,171,02  ARGANZUELA,02-05 DELICIAS,"EMBAJADORES, CALLE, DE",97,24,-3.6984459,40.3997626
168,172,02  ARGANZUELA,02-06 PALOS DE MOGUER,"BUSTAMANTE, CALLE, DE",1,24,-3.6935448,40.4008683
169,173,02  ARGANZUELA,02-02 ACACIAS,"ESPERANZA, PASEO, DE LA",59,24,-3.7023615,40.3981757
170,174,02  ARGANZUELA,02-02 ACACIAS,"YESERIAS, PASEO, DE LAS",8,27,-3.7063771,40.397417
171,175,02  ARGANZUELA,02-03 CHOPERA,"JAIME EL CONQUISTADOR, CALLE, DE",30,21,-3.6983033,40.3962687
172,176,02  ARGANZUELA,02-05 DELICIAS,"ALICANTE, CALLE, DE",3,24,-3.6936302,40.3942411
173,177,02  ARGANZUELA,02-05 DELICIAS,"BOLIVAR, CALLE, DE",3,24,-3.694087,40.3915019
174,178,03  RETIRO,03-01 PACÍFICO,"LEON GIL DE PALACIO, CALLE, DE",1,24,-3.6788939,40.4030242
175,179,13  PUENTE DE VALLECAS,13-02 SAN DIEGO,"M-30, AUTOVIA",S/N,24,-3.6690602,40.3979341
176,180,02  ARGANZUELA,02-07 ATOCHA,"RETAMA, CALLE, DE LA",5,24,-3.6759244,40.3941252
177,181,03  RETIRO,03-04 IBIZA,"IBIZA, CALLE, DE",18,27,-3.67664,40.4181748
178,182,03  RETIRO,03-03 ESTRELLA,"ALCALDE SAINZ DE BARANDA, CALLE, DEL",90,24,-3.6655023,40.4187145
179,183,04  SALAMANCA,04-02 GOYA,"HERMOSILLA, CALLE, DE",135,24,-3.6694506,40.4256358
180,184,04  SALAMANCA,04-03 FUENTE DEL BERRO,"MARQUES DE ZAFRA, PASEO, DEL",24,24,-3.6653095,40.4260023
181,185,04  SALAMANCA,04-03 FUENTE DEL BERRO,"MARQUES DE ZAFRA, GLORIETA, DEL",frente 4,24,-3.661533,40.4250682
182,186,04  SALAMANCA,04-05 LISTA,"GENERAL PARDIÑAS, CALLE, DEL",56,24,-3.6782783,40.429069
183,187,04  SALAMANCA,04-03 FUENTE DEL BERRO,"ALEJANDRO GONZALEZ, CALLE, DE",1,24,-3.6638407,40.4301353
184,188,15  CIUDAD LINEAL,15-01 VENTAS,"DAROCA, AVENIDA, DE",2,27,-3.6589062,40.4311658
185,189,15  CIUDAD LINEAL,15-04 CONCEPCIÓN,"VIRGEN DE LA ALEGRIA, CALLE, DE LA",18,24,-3.6555431,40.4350206
186,190,04  SALAMANCA,04-06 CASTELLANA,"VELAZQUEZ, CALLE, DE",91,24,-3.6834711,40.4343761
187,191,04  SALAMANCA,04-04 GUINDALERA,"ALONSO HEREDIA, CALLE, DE",1,18,-3.6740365,40.4346168
188,192,04  SALAMANCA,04-04 GUINDALERA,"TOREROS, AVENIDA, DE LOS",3,27,-3.6714315,40.431855
189,193,04  SALAMANCA,04-04 GUINDALERA,"TOREROS, AVENIDA, DE LOS",47,24,-3.665644,40.4325204
190,194,04  SALAMANCA,04-04 GUINDALERA,"FRANCISCO SILVELA, CALLE, DE",86,24,-3.6771947,40.4371986
191,195,05  CHAMARTÍN,05-02 PROSPERIDAD,"PADRE INDALECIO HERNANDEZ, CALLE, DEL",1,24,-3.6754913,40.4392483
192,196,05  CHAMARTÍN,05-03 CIUDAD JARDÍN,"SUERO DE QUIÑONES, CALLE, DE",2,24,-3.6750918,40.4440957
193,197,05  CHAMARTÍN,05-01 EL VISO,"CONCHA ESPINA, AVENIDA, DE",S/N,24,-3.6780252,40.4515501
194,198,07  CHAMBERÍ,07-04 ALMAGRO,"RUBEN DARIO, GLORIETA, DE",2,24,-3.6915713,40.4331172
195,199,07  CHAMBERÍ,07-01 GAZTAMBIDE,"FERNANDO EL CATOLICO, CALLE, DE",61,27,-3.7148406,40.4343244
196,200,07  CHAMBERÍ,07-02 ARAPILES,"QUEVEDO, GLORIETA, DE",frente 4,24,-3.704671,40.4336617
197,201,07  CHAMBERÍ,07-05 RÍOS ROSAS,"JOSE ABASCAL, CALLE, DE",frente al 2,24,-3.7038161,40.4387323
198,202,07  CHAMBERÍ,07-06 VALLEHERMOSO,"SANTANDER, CALLE, DE",S/N,24,-3.7080969,40.4411686
199,203,07  CHAMBERÍ,07-06 VALLEHERMOSO,"GENERAL AMPUDIA, CALLE, DEL",2,24,-3.7144239,40.4417547
200,204,06  TETUÁN,06-01 BELLAS VISTAS,"DOCTOR SANTERO, CALLE, DEL",1,24,-3.7041702,40.4476606
201,205,06  TETUÁN,06-01 BELLAS VISTAS,"NAVARRA, CALLE, DE",1,24,-3.7033408,40.4535024
202,206,06  TETUÁN,06-06 BERRUGUETE,"MARQUES DE VIANA, CALLE, DEL",5,24,-3.6990499,40.4607994
