,Número,Distrito,Barrio,Calle,Nº Finca,Número de Plazas,Longitud,Latitud
20,22,01  CENTRO,01-06 SOL,"JACOMETREZO, CALLE, DE",1,24,-3.7064995,40.4201452
21,23,01  CENTRO,01-01 PALACIO,"SANTO DOMINGO, PLAZA, DE",S/N,24,-3.7082901,40.4202137
22,24,01  CENTRO,01-01 PALACIO,"CARLOS III, CALLE, DE",1,24,-3.7105866,40.417906
23,25,01  CENTRO,01-06 SOL,"CELENQUE, PLAZA, DEL",1,48,-3.7060243,40.4172593
24,26,01  CENTRO,01-04 JUSTICIA,"SALESAS, PLAZA, DE LAS",8,24,-3.6945421,40.4238308
25,27,01  CENTRO,01-03 CORTES,"JESUS, CALLE, DE",frente 6,27,-3.6955803,40.4132831
26,28,01  CENTRO,01-03 CORTES,"ALCALA, CALLE, DE",26,24,-3.6983662,40.4180695
27,29,01  CENTRO,01-03 CORTES,"MARQUES DE CUBAS, CALLE, DEL",25,24,-3.6958008,40.416244
28,30,01  CENTRO,01-01 PALACIO,"PAVIA, CALLE, DE",6,27,-3.7115428,40.4193355
29,31,01  CENTRO,01-06 SOL,"MAYOR, CALLE",18,27,-3.706625,40.4163446
30,32,01  CENTRO,01-06 SOL,"PROVINCIA, PLAZA, DE LA",1,18,-3.7061355,40.4148511
31,33,01  CENTRO,01-06 SOL,"CARRETAS, CALLE, DE LAS",3,21,-3.7032096,40.4164757
32,34,01  CENTRO,01-03 CORTES,"JACINTO BENAVENTE, PLAZA, DE",S/N,24,-3.7035044,40.4144117
33,35,01  CENTRO,01-01 PALACIO,"CORDON, PLAZA, DEL",1,24,-3.7103676,40.4141792
34,36,01  CENTRO,01-01 PALACIO,"RAMALES, PLAZA, DE",5,24,-3.711764,40.4168229
35,37,01  CENTRO,01-01 PALACIO,"SAN FRANCISCO, PLAZA, DE",5,24,-3.7141234,40.4108606
36,38,01  CENTRO,01-01 PALACIO,"SAN FRANCISCO, CARRERA, DE",1,24,-3.7114443,40.4112961
37,39,01  CENTRO,01-01 PALACIO,"CEBADA, PLAZA, DE LA",16,27,-3.7090043,40.4112662
38,40,01  CENTRO,01-02 EMBAJADORES,"CONDE DE ROMANONES, CALLE, DEL",2,24,-3.7047463,40.4137865
39,41,01  CENTRO,01-02 EMBAJADORES,"ATOCHA, CALLE, DE",56,18,-3.6989898,40.412228
40,42,01  CENTRO,01-02 EMBAJADORES,"SANTA ISABEL, CALLE, DE",32,24,-3.6982294,40.4107714
41,43,01  CENTRO,01-02 EMBAJADORES,"LAVAPIES, CALLE, DE",36,24,-3.7025446,40.4100889
42,44,01  CENTRO,01-02 EMBAJADORES,"MESON DE PAREDES, CALLE, DEL",35,21,-3.7039138,40.4098162
43,45,01  CENTRO,01-02 EMBAJADORES,"PUERTA DE TOLEDO, GLORIETA, DE LA",1,21,-3.7111381,40.4069486
44,46,02  ARGANZUELA,02-02 ACACIAS,"RIBERA DE CURTIDORES, CALLE, DE LA",28,24,-3.7071178,40.4054496
45,47,02  ARGANZUELA,02-02 ACACIAS,"EMBAJADORES, GLORIETA, DE",7 B,24,-3.702755,40.4046233
46,48,01  CENTRO,01-02 EMBAJADORES,"EMBAJADORES, GLORIETA, DE",2,24,-3.7020997,40.4054473
47,49,01  CENTRO,01-02 EMBAJADORES,"ATOCHA, RONDA, DE",36,24,-3.6992427,40.4060497
48,50,01  CENTRO,01-02 EMBAJADORES,"SANTA ISABEL, CALLE, DE",57,24,-3.69322,40.4083102
49,51,01  CENTRO,01-02 EMBAJADORES,"EMPERADOR CARLOS V, PLAZA, DEL",7,27,-3.6935934,40.4077234
50,52,01  CENTRO,01-03 CORTES,"SANTA ANA, PLAZA, DE",9,24,-3.7007838,40.4145181
51,53,01  CENTRO,01-02 EMBAJADORES,"VALENCIA, CALLE, DE",frente 2,24,-3.7007295,40.4082802
52,54,01  CENTRO,01-04 JUSTICIA,"BARCELO, CALLE, DE",7,21,-3.7003435,40.4266233
53,55,01  CENTRO,01-05 UNIVERSIDAD,"SAN ILDEFONSO, PLAZA, DE",8,24,-3.7019295,40.4240716
54,56,01  CENTRO,01-06 SOL,"CARMEN, PLAZA, DEL",1,24,-3.7032875,40.418484
55,57,01  CENTRO,01-05 UNIVERSIDAD,"SANTA CRUZ DE MARCENADO, CALLE, DE",24,24,-3.7128181,40.4296363
56,58,01  CENTRO,01-04 JUSTICIA,"AUGUSTO FIGUEROA, CALLE, DE",33,24,-3.6979458,40.4222601
57,59,01  CENTRO,01-05 UNIVERSIDAD,"ESPIRITU SANTO, CALLE, DEL",30,21,-3.7041167,40.4254802
58,60,03  RETIRO,03-05 JERÓNIMOS,"INDEPENDENCIA, PLAZA, DE LA",7,24,-3.6881994,40.4194508
59,61,03  RETIRO,03-04 IBIZA,"O'DONNELL, CALLE, DE",30,24,-3.675206,40.4214379
60,62,03  RETIRO,03-04 IBIZA,"O'DONNELL, CALLE, DE",48,24,-3.6724223,40.4212986
61,63,03  RETIRO,03-04 IBIZA,"IBIZA, CALLE, DE",64,24,-3.6706508,40.4178926
62,65,03  RETIRO,03-05 JERÓNIMOS,"ANTONIO MAURA, CALLE, DE",15,24,-3.6893825,40.4166859
63,67,01  CENTRO,01-03 CORTES,"ALMADEN, CALLE, DE",28,24,-3.6931349,40.410829
64,68,03  RETIRO,03-05 JERÓNIMOS,"ESPALTER, CALLE, DE",1,21,-3.6911649,40.412781
65,69,03  RETIRO,03-05 JERÓNIMOS,"ALFONSO XII, CALLE, DE",54,27,-3.6888669,40.4100609
66,70,03  RETIRO,03-05 JERÓNIMOS,"MENENDEZ PELAYO, AVENIDA, DE",frente 63,24,-3.6777994,40.4152203
67,71,03  RETIRO,03-06 NIÑO JESÚS,"DOCE DE OCTUBRE, CALLE, DEL",28,24,-3.674021,40.4160054
68,72,03  RETIRO,03-06 NIÑO JESÚS,"DOCTOR ESQUERDO, CALLE, DEL",62,24,-3.669623,40.415721
69,73,03  RETIRO,03-03 ESTRELLA,"ASTROS, PLAZA, DE LOS",S/N,24,-3.669099,40.411463
